mata_kuliah,query,faiss_time_ms,rerank_time_ms,total_time_ms,faiss_avg_score,rerank_avg_score,faiss_top1,rerank_top1
Pemrograman Mobile,Apa perbedaan implicit dan explicit Intent?,11.88,48.87,60.76,0.4174,3.2093,0.5094,4.404
Pemrograman Mobile,Jelaskan cara mengirim data antar Activity,17.1,40.3,57.4,0.5269,2.0882,0.5694,3.0852
Pemrograman Mobile,Bagaimana cara membuat RecyclerView?,15.75,39.0,54.75,0.561,0.4907,0.6528,0.4907
Pemrograman Mobile,Apa itu ViewHolder pattern?,14.02,41.89,55.91,0.3228,0.0,0.4222,0.0
Pemrograman Mobile,Jelaskan penggunaan Adapter di RecyclerView,15.54,37.17,52.7,0.5396,1.6801,0.5937,4.1358
Pemrograman Mobile,Bagaimana cara membuat Fragment?,15.99,31.66,47.66,0.5019,2.6837,0.5555,2.6837
Pemrograman Mobile,Apa perbedaan Activity dan Fragment?,10.37,37.68,48.04,0.5351,4.56,0.5891,7.1943
Pemrograman Mobile,Jelaskan komunikasi antar Fragment,19.59,37.65,57.24,0.4904,1.8307,0.5449,1.8307
Pemrograman Mobile,Bagaimana menggunakan background thread?,14.29,48.54,62.83,0.4174,4.1132,0.5241,4.6383
Pemrograman Mobile,Apa itu AsyncTask di Android?,11.07,31.8,42.87,0.5504,0.0,0.5717,0.0
Pemrograman Mobile,Jelaskan penggunaan Coroutines,9.05,41.74,50.79,0.4116,0.0,0.4484,0.0
Pemrograman Mobile,Bagaimana cara request API dengan Retrofit?,10.89,44.65,55.54,0.5391,1.5969,0.6007,2.6099
Pemrograman Mobile,Apa itu JSON parsing?,13.83,34.75,48.58,0.3026,0.0,0.3503,0.0
Pemrograman Mobile,Jelaskan penggunaan Volley untuk networking,9.24,37.69,46.93,0.4539,1.5682,0.5719,2.35
Pemrograman Mobile,Bagaimana menyimpan data dengan SharedPreferences?,16.84,37.13,53.97,0.5434,5.8298,0.6275,7.4958
Pemrograman Mobile,Bagaimana menggunakan SQLite di Android?,13.12,43.7,56.82,0.5996,4.884,0.6764,6.1041
