mata_kuliah,query,faiss_avg_score,faiss_sigmoid,rerank_avg_score,rerank_sigmoid,rerank_top1,rerank_top1_sigmoid
Basis Data,Jelaskan penggunaan operator LIKE dengan wildcard,0.4906,0.620247766820688,3.3749,0.9669108223322773,6.5191,0.998527176407349
Basis Data,Bagaimana cara membuat JOIN antar tabel?,0.5654,0.6377010730770405,0.6709,0.6617046549579813,1.0401,0.7388693006908406
Basis Data,Apa perbedaan INNER JOIN dan LEFT JOIN?,0.5373,0.6311841056919787,1.4976,0.8172162518496424,2.4525,0.920744078870323
Basis Data,Jelaskan konsep foreign key relationship,0.4345,0.6069477133589637,3.3177,0.965031058365697,4.4592,0.9885607536965667
Basis Data,Bagaimana menggunakan fungsi agregat SUM dan COUNT...,0.475,0.6165665045213193,2.1794,0.8983843112291899,3.4017,0.967757622274453
Basis Data,Apa fungsi GROUP BY dan HAVING?,0.309,0.5766411537275064,1.5539,0.8254762994185397,2.3988,0.916735751724663
Basis Data,Jelaskan penggunaan AVG dan MAX,0.4147,0.6022143134225727,0.0,0.5,0.0,0.5
Basis Data,Bagaimana cara membuat subquery?,0.4715,0.6157387247713896,0.0,0.5,0.0,0.5
Basis Data,"Apa itu UNION, INTERSECT, dan EXCEPT?",0.4212,0.6037703636369101,4.1006,0.9837071198733192,4.1006,0.9837071198733192
OOP Java,Bagaimana cara membuat class di Java?,0.5622,0.636961424860762,3.8557,0.9792796309016549,5.723,0.9967407707960307
OOP Java,Apa perbedaan class dan object?,0.4961,0.6215423799584834,2.8261,0.9440700313059244,2.8844,0.9470698635393078
OOP Java,Jelaskan struktur dasar program Java,0.6253,0.6514229890837373,0.9362,0.7183314364439364,1.2507,0.7774210110042573
OOP Java,Bagaimana cara membuat constructor?,0.4555,0.6119461096798057,0.0,0.5,0.0,0.5
OOP Java,Apa itu overloading constructor?,0.3378,0.5836560178475474,0.0,0.5,0.0,0.5
OOP Java,Jelaskan penggunaan this keyword,0.4452,0.6094973867351093,1.0305,0.7370128197791399,1.1102,0.7521663957415872
OOP Java,Bagaimana implementasi encapsulation?,0.4246,0.6045834637957909,0.4706,0.6155257585093361,0.4706,0.6155257585093361
OOP Java,Apa itu getter dan setter?,0.4033,0.599480261728117,0.0,0.5,0.0,0.5
OOP Java,Jelaskan access modifier public dan private,0.4775,0.6171573626529722,4.0392,0.9826932428961186,6.7812,0.998866374379299
OOP Java,Bagaimana cara menggunakan inheritance?,0.4857,0.6190929403659057,3.5453,0.9719495711238342,5.1572,0.9942751634845522
OOP Java,Apa itu keyword extends?,0.3203,0.5793973627072753,0.0,0.5,0.0,0.5
OOP Java,Jelaskan konsep method overriding,0.4863,0.6192344203750321,4.783,0.9916986407079308,5.5611,0.9961701788488011
OOP Java,Bagaimana implementasi polymorphism?,0.4902,0.620153546100182,2.3721,0.9146748972830022,3.938,0.9808853401483376
OOP Java,Apa perbedaan compile-time dan runtime polymorphis...,0.408,0.6006082195512744,0.5626,0.6370539164196586,0.5626,0.6370539164196586
OOP Java,Jelaskan penggunaan abstract class,0.5755,0.6400313004188463,3.9183,0.9805124587316603,6.5116,0.9985161051564748
OOP Java,Bagaimana cara menggunakan interface?,0.4623,0.6135596580411177,4.1757,0.9848680608747199,4.4555,0.9885188369296984
OOP Java,Apa itu Thread di Java?,0.5958,0.6446948256372672,3.9313,0.9807593143326746,6.2834,0.9981364375009766
OOP Java,Jelaskan cara membuat Thread dengan Runnable,0.6817,0.6641180141142529,4.7454,0.9913833080313713,7.817,0.9995973338483863
OOP Java,Bagaimana synchronization bekerja?,0.3395,0.5840690618470776,0.0,0.5,0.0,0.5
OOP Java,Apa itu thread-safe programming?,0.3773,0.5932217310653722,0.0,0.5,0.0,0.5
Pemrograman Mobile,Bagaimana cara membuat Activity di Android?,0.5739,0.6396625919124886,2.745,0.9396303467081095,5.6443,0.9964748467948149
Pemrograman Mobile,Apa itu lifecycle Activity?,0.3709,0.5916764322485462,1.3619,0.7960683239748593,2.3022,0.9090590782094512
Pemrograman Mobile,Jelaskan method onCreate dan onPause,0.3922,0.5968121921370214,1.8811,0.8677374236398001,1.8811,0.8677374236398001
Pemrograman Mobile,Bagaimana cara menggunakan Intent?,0.4313,0.6061840536641705,1.0849,0.7474201423599766,3.194,0.9606078612273
Pemrograman Mobile,Apa perbedaan implicit dan explicit Intent?,0.4174,0.6028609256107547,3.2093,0.961182756644029,4.404,0.9879193969527783
Pemrograman Mobile,Jelaskan cara mengirim data antar Activity,0.5269,0.6287597964259762,2.0882,0.889750979958396,3.0852,0.9562781146505591
Pemrograman Mobile,Bagaimana cara membuat RecyclerView?,0.561,0.6366838893983633,0.4907,0.6202713205848971,0.4907,0.6202713205848971
Pemrograman Mobile,Apa itu ViewHolder pattern?,0.3228,0.5800064816309234,0.0,0.5,0.0,0.5
Pemrograman Mobile,Jelaskan penggunaan Adapter di RecyclerView,0.5396,0.6317193626364032,1.6801,0.8429177723087439,4.1358,0.9842617838829095
Pemrograman Mobile,Bagaimana cara membuat Fragment?,0.5019,0.622905734254928,2.6837,0.9360579390750036,2.6837,0.9360579390750036
Pemrograman Mobile,Apa perbedaan Activity dan Fragment?,0.5351,0.6306718184430127,4.56,0.9896462624689083,7.1943,0.99924970985913
Pemrograman Mobile,Jelaskan komunikasi antar Fragment,0.4904,0.6202006575929743,1.8307,0.8618450956294544,1.8307,0.8618450956294544
Pemrograman Mobile,Bagaimana menggunakan background thread?,0.4174,0.6028609256107547,4.1132,0.9839078394100139,4.6383,0.9904185623931101
Pemrograman Mobile,Apa itu AsyncTask di Android?,0.5504,0.6342283890878431,0.0,0.5,0.0,0.5
Pemrograman Mobile,Jelaskan penggunaan Coroutines,0.4116,0.6014714667100044,0.0,0.5,0.0,0.5
Pemrograman Mobile,Bagaimana cara request API dengan Retrofit?,0.5391,0.6316030299724412,1.5969,0.8315846713232914,2.6099,0.9314960154321436
Pemrograman Mobile,Apa itu JSON parsing?,0.3026,0.5750779850688479,0.0,0.5,0.0,0.5
Pemrograman Mobile,Jelaskan penggunaan Volley untuk networking,0.4539,0.611566092784971,1.5682,0.8275268526158442,2.35,0.9129342275597286
Pemrograman Mobile,Bagaimana menyimpan data dengan SharedPreferences?,0.5434,0.6326029893244034,5.8298,0.9970699457923505,7.4958,0.9994448961019393
Pemrograman Mobile,Bagaimana menggunakan SQLite di Android?,0.5996,0.6455647871987037,4.884,0.9924901381052418,6.1041,0.9977712874672501
